"Sample","Spore_rep","R","G","B","Y","PDI","Temp","Taxon"
"Lyco800",2,32,35,53,41.5484130919911,83.7065046698074,800,"Lycopodium"
"Lyco800",3,39,36,35,42.375903793702,83.3819985122737,800,"Lycopodium"
"Lyco800",4,42,34,44,43.2241333994545,83.0493594511943,800,"Lycopodium"
"Lyco800",5,25,44,26,41.7259899578478,83.636866683197,800,"Lycopodium"
"Lyco800",6,34,36,42,41.5196652615919,83.7177783287875,800,"Lycopodium"
"Lyco800",7,48,36,56,48.2011331515001,81.097594842549,800,"Lycopodium"
"Lyco800",8,39,35,30,41.0641470369452,83.8964129266882,800,"Lycopodium"
"Lyco800",9,38,36,38,42.4086560872799,83.3691544755765,800,"Lycopodium"
"Lyco800",10,40,32,57,42.8336244730969,83.2025002066287,800,"Lycopodium"
"Lyco800",11,38,28,53,38.9271020332259,84.7344697908918,800,"Lycopodium"
"Lyco800",15,87,53,45,71.9011585668237,71.8034672286966,800,"Lycopodium"
"Lyco800",16,81,54,41,69.9669290850483,72.5619885940987,800,"Lycopodium"
"Lyco800",17,29,39,33,40.646196999752,84.060314902058,800,"Lycopodium"
"Lyco800",18,40,33,44,41.8503812298537,83.5880857922142,800,"Lycopodium"
"Lyco800",19,31,31,31,35.696638358542,86.0013182907678,800,"Lycopodium"
"Lyco800",20,37,25,31,33.7495840565336,86.7648689974378,800,"Lycopodium"
"Lyco800",21,29,32,37,36.4363997024548,85.7112158029589,800,"Lycopodium"
"Lyco800",22,63,69,88,79.7778217208034,68.714579717332,800,"Lycopodium"
"Lyco800",23,61,65,76,74.8512992809323,70.6465493015952,800,"Lycopodium"
"Lyco800",24,65,61,72,73.0432630795933,71.3555831060418,800,"Lycopodium"
"Lyco800",25,36,30,31,36.7711201338954,85.5799528886685,800,"Lycopodium"
"Lyco800",26,33,33,24,36.8521472848996,85.5481775353335,800,"Lycopodium"
"Lyco800",27,28,34,26,36.0326655095462,85.8695429374328,800,"Lycopodium"
"Lyco800",28,31,34,38,38.6119086288123,84.8580750475246,800,"Lycopodium"
"Lyco800",29,39,31,40,39.6421200099182,84.4540705843458,800,"Lycopodium"
"Lyco800",30,37,30,48,39.2883678403174,84.5927969253657,800,"Lycopodium"
"Lyco800",31,29,43,41,44.3632240267791,82.6026572444004,800,"Lycopodium"
"Lyco800",32,38,41,33,45.1424398710637,82.2970824035044,800,"Lycopodium"
"Lyco800",33,32,42,41,44.7382103892884,82.4556037689065,800,"Lycopodium"
"Lyco800",34,32,34,47,40.1091563352343,84.2709190842218,800,"Lycopodium"
"Lyco800",35,32,34,46,39.9816563352343,84.3209190842218,800,"Lycopodium"
"Lyco800",36,33,36,33,40.0224175551699,84.3049342920903,800,"Lycopodium"
"Lyco800",37,36,35,46,42.0549039176791,83.5078808165964,800,"Lycopodium"
